date,county,cases,deaths,new_cases,new_deaths,new_cases_week_avg,new_deaths_week_avg,aggregation
2020-08-05,Des Moines,143,2,4,0,1.7142857142857142,0,none
2020-08-05,Mahaska,137,17,1,0,0.5714285714285714,0,none
2020-08-05,Floyd,132,2,1,0,4.428571428571429,0,none
2020-08-05,O'Brien,132,1,1,0,2.5714285714285716,0,none
2020-08-05,Guthrie,128,5,0,0,0.8571428571428571,0,none
2020-08-05,Jones,126,2,2,0,1.5714285714285714,0.14285714285714285,none
2020-08-05,Cedar,123,1,3,0,1.1428571428571428,0,none
2020-08-05,Buchanan,118,1,4,0,3.2857142857142856,0,none
2020-08-05,Butler,118,2,3,0,2.2857142857142856,0,none
2020-08-05,Hancock,117,2,0,0,1.4285714285714286,0,none
2020-08-05,Henry,114,3,0,0,1,0,none
2020-08-05,Pocahontas,114,1,0,0,0.2857142857142857,0,none
2020-08-05,Lyon,108,0,2,0,2,0,none
2020-08-05,Madison,107,2,2,0,2.2857142857142856,0,none
2020-08-05,Clayton,101,3,2,0,2.4285714285714284,0,none
2020-08-05,Cherokee,99,1,1,0,0.2857142857142857,0,none
2020-08-05,Harrison,99,0,1,0,1.5714285714285714,0,none
2020-08-05,Lee,99,3,2,0,2.2857142857142856,0.14285714285714285,none
2020-08-05,Delaware,94,1,3,0,1.8571428571428572,0,none
2020-08-05,Humboldt,94,1,2,0,1.5714285714285714,0,none
2020-08-05,Iowa,94,1,4,0,1.8571428571428572,0,none
2020-08-05,Taylor,94,0,1,0,0.14285714285714285,0,none
2020-08-05,Monona,91,0,1,0,0.2857142857142857,0,none
2020-08-05,Winneshiek,90,1,4,0,2.4285714285714284,0,none
2020-08-05,Mills,85,0,2,0,1.8571428571428572,0,none
2020-08-05,Calhoun,82,2,0,0,0.5714285714285714,0,none
2020-08-05,Kossuth,82,0,4,0,1.1428571428571428,0,none
2020-08-05,Fayette,81,0,0,0,0.8571428571428571,0,none
2020-08-05,Sac,81,0,0,0,0.5714285714285714,0,none
2020-08-05,Palo Alto,80,0,0,0,1.5714285714285714,0,none
2020-08-05,Mitchell,78,0,2,0,0.2857142857142857,0,none
2020-08-05,Osceola,78,0,0,0,0.42857142857142855,0,none
2020-08-05,Jefferson,77,0,0,0,0.7142857142857143,0,none
2020-08-05,Page,77,0,1,0,1.7142857142857142,0,none
2020-08-05,Grundy,76,1,2,0,1.1428571428571428,0,none
2020-08-05,Winnebago,76,0,0,0,1,0,none
2020-08-05,Union,74,1,2,0,1.1428571428571428,0,none
2020-08-05,Monroe,69,7,2,0,0.42857142857142855,0,none
2020-08-05,Worth,64,0,3,0,1.2857142857142858,0,none
2020-08-05,Lucas,53,4,3,0,1.8571428571428572,0,none
2020-08-05,Chickasaw,52,0,1,0,0.5714285714285714,0,none
2020-08-05,Davis,51,1,1,0,0.42857142857142855,0,none
2020-08-05,Howard,49,0,0,0,0.2857142857142857,0,none
2020-08-05,Cass,48,1,0,0,1.5714285714285714,0.14285714285714285,none
2020-08-05,Montgomery,45,4,0,1,0.7142857142857143,0.2857142857142857,none
2020-08-05,Appanoose,43,3,0,0,0.8571428571428571,0,none
2020-08-05,Greene,38,0,0,0,0.14285714285714285,0,none
2020-08-05,Fremont,34,0,0,0,1,0,none
2020-08-05,Van Buren,34,1,1,0,1.2857142857142858,0,none
2020-08-05,Keokuk,31,1,0,0,0.5714285714285714,0,none
2020-08-05,Ida,29,0,0,0,0,0,none
2020-08-05,Audubon,28,1,0,0,0.14285714285714285,0,none
2020-08-05,Adair,23,0,2,0,0.42857142857142855,0,none
2020-08-05,Decatur,23,0,1,0,0.8571428571428571,0,none
2020-08-05,Ringgold,21,1,0,0,0,0,none
2020-08-05,Wayne,19,1,1,0,0.7142857142857143,0,none
2020-08-05,Adams,16,0,0,0,0.14285714285714285,0,none
2020-08-04,Polk,9781,203,58,0,93.57142857142857,1.4285714285714286,none
2020-08-04,Woodbury,3656,51,5,0,11.571428571428571,0.5714285714285714,none
2020-08-04,Black Hawk,3022,62,19,0,19.428571428571427,0,none
2020-08-04,Linn,2145,87,37,0,38.285714285714285,0,none
2020-08-04,Johnson,1959,15,26,0,25.428571428571427,0.42857142857142855,none
2020-08-04,Dallas,1796,35,7,0,17,0.14285714285714285,none
2020-08-04,Buena Vista,1786,12,1,0,1.2857142857142858,0,none
2020-08-04,Scott,1615,12,22,0,16.428571428571427,0.14285714285714285,none
2020-08-04,Dubuque,1549,29,12,0,23.571428571428573,0.42857142857142855,none
